customer_id,age,gender,account_type,country,is_active,signup_date
1,60,Female,basic,Netherlands,True,2022-12-02
2,68,Female,basic,Italy,True,2024-06-28
3,46,Female,premium,Spain,True,2022-06-19
4,24,Female,basic,Italy,True,2024-07-01
5,30,Female,basic,Germany,True,2022-04-29
6,62,Female,basic,Spain,True,2024-12-01
7,70,Female,premium,Italy,True,2024-10-09
8,40,Female,premium,Netherlands,True,2022-01-10
9,80,Female,premium,Netherlands,True,2023-03-06
10,67,Female,premium,Netherlands,True,2022-02-18
11,74,Female,basic,Spain,True,2022-07-26
12,42,Female,basic,Netherlands,True,2023-05-29
13,78,Female,premium,France,True,2025-05-18
14,58,Female,premium,Germany,True,2025-03-08
15,62,Female,basic,Italy,True,2022-02-06
16,30,Female,basic,France,True,2022-08-06
17,54,Female,premium,Spain,True,2025-07-25
18,47,Female,basic,Italy,True,2022-06-29
19,43,Female,basic,Italy,True,2022-05-10
20,29,Female,basic,Netherlands,True,2023-09-03
21,74,Female,basic,Italy,True,2023-10-21
22,18,Female,basic,Italy,True,2022-12-25
23,35,Female,basic,Germany,True,2023-09-19
24,75,Female,premium,Spain,True,2024-10-24
25,38,Female,basic,France,False,2025-01-11
26,70,Female,premium,Netherlands,True,2025-03-23
27,71,Female,premium,Germany,True,2023-05-21
28,79,Female,basic,France,True,2024-03-28
29,41,Female,basic,France,True,2024-03-04
30,77,Female,premium,Germany,True,2024-04-18
31,34,Female,basic,Netherlands,True,2023-09-15
32,59,Female,basic,Spain,True,2023-09-21
33,77,Female,basic,Germany,True,2022-04-07
34,26,Female,basic,Germany,True,2025-07-29
35,69,Female,premium,Germany,True,2024-03-29
36,57,Female,premium,Netherlands,True,2023-08-22
37,45,Female,basic,Germany,True,2024-07-22
38,32,Female,business,Germany,True,2023-03-05
39,30,Female,basic,Italy,True,2025-02-23
40,45,Female,premium,Italy,True,2025-08-17
41,70,Female,premium,Italy,True,2023-06-27
42,34,Female,premium,Italy,True,2023-01-02
43,79,Female,basic,Germany,True,2024-12-04
44,26,Female,premium,Italy,True,2025-09-01
45,73,Female,basic,France,False,2025-04-27
46,38,Female,basic,Spain,False,2022-02-21
47,47,Female,basic,Italy,True,2023-07-18
48,80,Female,premium,Netherlands,True,2025-09-17
49,28,Female,basic,Spain,True,2023-05-14
50,47,Female,basic,France,True,2024-09-03
51,53,Female,basic,Spain,True,2025-09-03
