loan_id,customer_id,loan_amount,loan_type,approved,application_date
1,381,23489,personal,True,2023-11-11
2,14,13953,business,True,2023-03-17
3,457,17687,business,True,2023-10-30
4,310,19834,auto,False,2024-09-14
5,348,12903,home,True,2024-09-15
6,454,11870,auto,True,2025-01-03
7,171,2069,auto,False,2024-12-18
8,429,11941,personal,True,2024-08-06
9,406,31251,personal,True,2024-04-20
10,380,41757,personal,True,2023-01-02
11,61,3732,home,False,2024-12-01
12,18,31082,personal,True,2023-02-09
13,428,42241,personal,False,2024-11-13
14,230,36300,personal,True,2023-02-17
15,86,37775,personal,True,2024-12-12
16,201,49629,personal,False,2023-02-26
17,146,41882,home,True,2024-05-26
18,57,9809,business,True,2024-12-08
19,85,5138,business,True,2023-01-12
20,271,8129,auto,True,2024-04-02
21,201,33020,business,True,2023-11-20
22,106,44345,personal,True,2024-11-21
23,314,2765,auto,True,2024-08-08
24,130,26453,personal,False,2024-06-24
25,14,36916,home,True,2023-04-02
26,21,32644,personal,True,2025-03-07
27,427,33688,auto,True,2023-12-05
28,45,40741,home,False,2024-01-06
29,34,48877,auto,True,2024-09-10
30,373,7072,personal,True,2025-01-28
31,71,32519,auto,False,2023-09-13
32,252,814,home,True,2024-05-15
33,335,39501,personal,True,2023-04-08
34,231,30590,auto,True,2023-02-15
35,12,19370,home,True,2023-01-20
36,123,49479,business,True,2023-02-28
37,263,22254,personal,False,2023-08-28
38,69,22239,personal,True,2024-01-11
39,111,3117,personal,True,2023-02-05
40,359,49751,auto,True,2024-05-27
41,246,42271,home,True,2024-01-22
42,471,30169,business,True,2023-07-02
43,373,12224,business,False,2023-11-12
44,412,42881,auto,False,2024-01-22
45,98,37311,auto,True,2023-03-26
46,281,25320,personal,True,2024-03-22
47,322,20336,personal,True,2024-08-16
48,307,27175,business,False,2024-11-01
49,201,23189,auto,True,2025-01-29
50,162,11954,personal,True,2023-08-16
51,430,28558,personal,True,2023-02-18
52,431,1513,personal,False,2025-03-09
53,376,4889,auto,True,2023-10-29
54,160,745,home,True,2024-12-24
55,381,45527,personal,False,2024-10-12
56,140,4020,personal,True,2024-09-07
57,253,27469,auto,True,2023-03-06
58,381,36507,personal,True,2024-04-13
