transaction_id,customer_id,amount,transaction_type,is_fraud,timestamp
1,390,1299.39,payment,False,2023-05-21
2,274,1540.75,payment,False,2025-04-22
3,437,927.93,payment,False,2022-12-03
4,278,1241.96,deposit,False,2025-05-30
5,485,1367.74,withdrawal,False,2023-08-09
6,68,2383.9,deposit,False,2024-09-30
7,235,2207.39,payment,False,2024-07-08
8,203,323.99,payment,False,2024-02-29
9,233,104.16,payment,False,2025-09-17
10,163,1701.15,payment,False,2023-08-20
11,459,123.95,payment,False,2025-09-30
12,98,151.82,withdrawal,False,2022-11-24
13,9,399.0,payment,False,2025-01-12
14,415,879.92,payment,False,2023-07-14
15,249,1088.06,payment,False,2024-04-10
16,490,1298.93,payment,False,2022-11-19
17,480,2480.73,payment,False,2023-05-29
18,427,963.7,payment,False,2024-08-06
19,227,607.64,payment,False,2023-03-22
20,241,1438.56,payment,False,2022-12-21
21,75,538.66,payment,False,2023-01-15
22,17,2351.42,transfer,False,2025-09-30
23,51,648.88,payment,False,2025-09-30
24,228,2474.85,payment,True,2024-03-10
25,194,1047.25,payment,False,2023-08-07
26,280,2031.9,withdrawal,False,2024-09-28
27,238,1621.05,withdrawal,False,2024-03-06
28,381,2333.8,payment,False,2025-04-03
29,271,1563.94,withdrawal,False,2025-01-20
30,412,1453.46,deposit,False,2025-09-30
31,387,1632.48,transfer,False,2024-11-24
32,157,1966.38,payment,False,2025-08-22
33,254,2247.21,transfer,False,2025-09-30
34,308,667.77,withdrawal,False,2023-10-28
35,310,503.02,withdrawal,False,2023-06-13
36,314,86.84,withdrawal,False,2022-11-06
37,301,925.83,transfer,False,2025-09-30
38,118,2115.62,transfer,False,2024-09-14
39,333,175.57,payment,False,2025-09-30
40,50,1346.76,payment,False,2024-09-14
41,278,1737.28,transfer,False,2025-09-30
42,52,2092.3,payment,False,2024-08-12
43,181,1458.99,payment,False,2024-09-16
44,31,466.61,payment,False,2024-07-12
45,327,2411.38,payment,False,2025-09-30
46,496,237.53,withdrawal,False,2025-09-30
47,432,1922.73,payment,False,2025-02-27
48,246,217.31,withdrawal,False,2023-04-03
49,90,359.4,deposit,False,2024-07-27
50,31,2245.64,payment,False,2024-05-12
51,102,1882.93,payment,False,2025-04-25
52,230,914.41,deposit,False,2023-09-03
53,388,1597.17,transfer,False,2025-06-29
54,419,1143.66,payment,False,2023-02-01
55,97,167.28,withdrawal,False,2024-05-14
56,67,1803.1,payment,False,2023-02-03
57,192,1908.38,payment,False,2024-01-10
58,211,2205.97,deposit,False,2025-09-30
59,137,1352.05,payment,False,2023-07-20
60,430,1683.17,withdrawal,False,2023-11-23
61,339,1095.69,payment,False,2025-09-30
62,184,797.95,deposit,False,2025-09-30
63,56,1029.84,payment,False,2025-09-30
64,467,2279.47,payment,False,2024-12-25
65,250,411.26,payment,False,2023-09-26
66,282,622.0,payment,False,2025-09-30
67,60,1515.87,deposit,False,2023-12-30
68,128,291.59,payment,False,2024-05-31
69,205,2229.77,payment,False,2023-12-24
70,214,119.04,deposit,False,2024-07-26
71,127,1888.53,payment,False,2025-09-30
72,496,934.95,payment,False,2025-09-30
73,72,128.86,deposit,False,2023-07-12
74,216,2107.48,payment,False,2024-04-27
75,90,1601.51,payment,False,2024-06-04
76,432,23.14,payment,False,2025-05-13
77,314,669.56,payment,False,2023-04-23
78,233,880.76,withdrawal,False,2024-09-26
79,233,807.12,payment,False,2025-05-20
80,63,1246.36,payment,False,2023-02-09
81,376,1317.48,payment,False,2023-11-27
82,247,992.49,payment,False,2024-08-04
83,442,830.09,payment,False,2023-11-24
84,387,1261.52,transfer,False,2023-12-13
85,135,85.0,payment,False,2024-10-11
86,436,1613.36,payment,False,2025-09-30
87,370,1515.35,deposit,True,2024-01-25
88,446,698.77,payment,False,2025-09-30
89,2,449.61,payment,False,2025-09-14
90,161,183.39,deposit,False,2025-06-01
91,140,1468.77,payment,False,2025-09-30
92,304,1422.68,deposit,False,2023-12-14
93,460,1333.76,deposit,False,2022-10-28
94,309,2464.06,payment,False,2023-03-13
95,202,1329.33,payment,False,2022-12-04
96,125,1804.76,transfer,False,2025-09-30
97,425,283.18,withdrawal,True,2025-09-25
98,373,748.13,payment,False,2024-12-21
99,347,689.34,deposit,False,2023-02-05
100,82,1440.36,payment,False,2025-09-30
101,442,827.7,payment,False,2023-09-12
102,324,1603.03,deposit,False,2022-06-28
103,488,1725.53,payment,False,2025-09-30
104,407,85.19,deposit,False,2025-06-24
105,469,1599.75,payment,False,2024-07-30
106,164,292.85,withdrawal,False,2025-09-30
107,350,1163.37,payment,False,2024-03-02
108,240,1816.71,payment,False,2024-04-04
109,213,1758.66,payment,True,2023-09-15
110,471,750.26,payment,False,2025-06-14
111,149,681.64,withdrawal,False,2025-09-30
112,72,1101.13,withdrawal,False,2023-08-17
113,103,472.48,deposit,False,2024-07-03
114,183,2436.77,payment,False,2023-07-17
115,184,862.95,deposit,False,2025-09-30
116,13,2307.56,payment,False,2025-09-30
117,380,2270.75,payment,False,2023-07-25
118,232,912.76,payment,False,2024-10-27
119,150,635.96,transfer,False,2024-03-07
120,263,1927.32,payment,False,2025-03-26
121,24,574.22,payment,False,2025-09-30
122,189,1303.59,payment,False,2024-03-16
123,133,277.61,payment,False,2023-07-22
124,50,965.44,deposit,False,2025-02-22
125,446,196.31,payment,False,2025-03-05
126,183,709.32,payment,False,2022-08-02
127,26,1663.57,transfer,False,2025-09-30
128,499,2478.28,transfer,False,2024-10-15
129,138,637.76,payment,False,2025-04-16
130,11,1183.83,withdrawal,False,2024-01-25
131,296,1120.67,payment,False,2024-11-13
132,102,461.2,withdrawal,False,2025-09-30
133,11,1525.56,withdrawal,True,2022-09-19
134,112,1812.04,payment,False,2023-04-13
135,94,368.9,transfer,False,2025-09-30
136,260,1893.05,payment,False,2025-06-24
137,258,1750.7,withdrawal,False,2025-09-30
138,461,494.16,deposit,False,2023-10-17
139,167,1622.72,payment,False,2025-09-30
140,209,984.79,payment,False,2023-06-20
141,407,1703.16,payment,False,2025-08-30
142,45,1240.75,deposit,False,2025-04-30
143,330,121.3,deposit,False,2025-09-30
144,205,1967.63,payment,True,2024-08-06
145,426,1389.44,payment,False,2023-09-17
146,359,1812.26,payment,False,2023-07-01
147,42,316.05,withdrawal,False,2024-11-08
148,285,1803.46,withdrawal,False,2023-01-28
149,400,1034.75,payment,False,2023-11-03
150,451,1998.37,payment,False,2024-01-31
151,100,1498.32,payment,False,2023-11-25
152,444,887.9,payment,False,2023-07-07
153,388,505.59,payment,False,2024-12-26
154,356,2039.99,payment,False,2024-11-30
155,272,1400.92,withdrawal,False,2024-10-02
156,425,2468.68,payment,False,2025-07-02
157,6,934.35,payment,False,2025-08-02
158,42,1714.61,withdrawal,False,2023-09-16
159,384,1557.43,deposit,False,2024-09-23
160,441,1594.32,payment,False,2024-04-02
161,412,1842.71,payment,False,2025-09-30
162,356,348.63,transfer,False,2025-09-30
163,407,1374.56,payment,False,2025-09-24
164,253,1273.32,payment,False,2025-01-18
165,76,856.98,transfer,False,2023-10-22
166,42,1090.94,withdrawal,False,2023-06-28
167,351,1297.51,withdrawal,False,2023-07-06
168,268,802.98,payment,False,2024-08-05
169,380,733.6,payment,False,2022-06-01
170,480,1845.94,payment,False,2023-09-20
171,217,168.23,payment,False,2023-04-05
172,64,783.09,payment,False,2023-02-14
173,442,1634.62,payment,False,2023-05-03
174,179,522.72,payment,False,2025-09-30
175,29,1431.11,withdrawal,False,2025-06-22
176,275,756.11,transfer,False,2025-09-30
177,470,2108.41,withdrawal,False,2025-02-19
178,216,875.62,deposit,False,2025-01-02
179,353,574.56,payment,False,2024-09-25
180,484,1325.73,payment,False,2023-12-08
181,301,340.02,payment,False,2025-01-18
182,488,1993.91,payment,False,2025-09-30
183,54,1700.39,withdrawal,False,2025-09-30
184,366,1926.5,transfer,False,2025-09-30
185,80,997.8,deposit,False,2023-08-26
186,194,2087.67,payment,False,2022-06-03
187,200,1234.38,deposit,False,2022-02-14
188,13,237.65,payment,False,2025-09-30
189,222,560.85,payment,False,2023-07-24
190,193,1777.92,payment,False,2025-09-30
191,396,2241.16,payment,False,2025-03-15
192,369,238.87,deposit,False,2023-12-02
193,327,2160.67,payment,False,2025-09-30
194,240,1997.88,payment,False,2023-11-18
195,270,892.05,payment,False,2025-01-22
196,298,1723.5,payment,False,2024-05-25
197,99,468.19,transfer,False,2025-09-30
198,220,2033.67,transfer,True,2025-07-09
199,332,1643.69,transfer,False,2024-08-20
200,104,1097.63,payment,False,2024-03-14
201,432,2161.43,payment,False,2025-09-30
202,377,348.95,transfer,False,2022-05-15
203,408,2114.62,transfer,False,2023-12-05
204,65,60.69,payment,False,2025-09-12
205,145,1883.25,deposit,False,2024-09-25
206,38,1433.84,payment,False,2024-04-18
207,28,1742.11,transfer,False,2024-09-18
208,289,1031.45,payment,False,2025-09-30
209,408,2161.24,deposit,False,2023-05-30
210,367,783.56,payment,False,2023-03-23
211,237,688.11,payment,False,2023-10-16
212,126,755.07,payment,False,2025-02-05
213,384,1936.14,payment,False,2024-04-10
214,326,1238.73,payment,False,2022-04-14
215,85,1343.18,withdrawal,False,2025-05-20
216,237,2079.31,payment,False,2023-12-14
217,246,2083.58,withdrawal,False,2022-09-22
218,388,405.18,payment,False,2025-07-11
219,417,1374.87,payment,False,2025-09-30
220,375,315.92,withdrawal,False,2023-11-23
221,266,2171.45,payment,False,2024-08-28
222,249,2092.68,transfer,False,2022-11-05
223,292,2123.52,deposit,False,2025-09-30
224,205,1762.44,withdrawal,False,2024-05-16
225,228,1167.73,payment,False,2022-09-11
226,240,1012.4,payment,False,2023-05-12
227,73,988.67,transfer,False,2024-05-24
