post_id,user_id,account_type,post_date,likes,comments,shares,content_type
1,103,personal,2023-12-27,20,1,3,photo
2,180,personal,2023-12-07,17,5,1,photo
3,93,personal,2023-09-15,35,10,4,photo
4,15,personal,2023-09-06,34,9,3,photo
5,107,business,2023-11-27,18,8,4,video
6,72,personal,2023-11-19,37,3,3,video
7,189,personal,2023-06-29,29,5,2,video
8,21,personal,2023-07-09,33,6,3,video
9,103,personal,2023-06-03,31,10,1,video
10,122,creator,2023-07-15,2,10,3,photo
11,75,personal,2023-11-07,2,7,4,video
12,88,personal,2023-09-19,27,3,1,photo
13,117,personal,2023-05-23,14,0,2,photo
14,100,personal,2023-12-08,40,6,1,photo
15,104,business,2023-11-12,32,2,2,video
16,152,personal,2023-04-11,39,5,1,video
17,131,business,2023-09-01,20,1,0,photo
18,150,personal,2023-01-12,31,8,2,video
19,53,business,2023-08-27,45,0,2,carousel
20,2,personal,2023-02-18,32,5,5,photo
21,88,personal,2023-02-11,23,5,5,photo
22,158,personal,2023-06-15,38,4,4,video
23,38,creator,2023-03-23,33,9,0,photo
24,130,business,2023-10-18,37,0,3,video
25,192,personal,2023-06-07,36,9,2,photo
26,188,creator,2023-08-04,6,9,4,photo
27,21,personal,2023-06-07,3,1,1,video
28,161,creator,2023-05-14,36,11,1,video
29,58,personal,2023-03-08,0,2,2,video
30,22,business,2023-12-02,10,3,0,video
31,89,business,2023-01-07,29,2,1,video
32,49,business,2023-01-14,28,2,0,video
33,59,personal,2023-03-14,28,3,1,photo
34,170,personal,2023-06-12,9,4,3,photo
35,188,business,2023-03-07,27,0,3,photo
36,15,personal,2023-12-13,27,3,2,video
37,190,creator,2023-05-10,34,15,1,photo
38,190,business,2023-07-25,40,7,2,photo
39,175,personal,2023-10-03,26,9,3,photo
40,190,business,2023-09-13,20,6,2,video
41,51,personal,2023-09-23,37,8,5,video
42,108,business,2023-01-25,14,4,4,photo
43,55,business,2023-10-08,17,9,4,video
44,64,personal,2023-09-10,33,3,1,photo
45,131,personal,2023-11-06,11,7,2,photo
46,51,creator,2023-10-16,37,13,3,video
47,135,personal,2023-06-13,0,6,1,photo
48,21,personal,2023-04-05,30,6,2,carousel
49,73,personal,2023-09-27,3,4,2,photo
50,167,personal,2023-11-17,4,3,3,photo
51,18,personal,2023-04-20,29,9,3,carousel
52,132,personal,2023-12-02,23,0,1,photo
53,89,personal,2023-11-06,2,9,3,carousel
54,60,personal,2023-08-26,10,9,2,carousel
55,14,personal,2023-01-25,3,6,3,photo
56,9,personal,2023-05-21,25,0,5,photo
57,90,personal,2023-04-27,26,0,3,photo
58,53,personal,2023-01-25,26,4,2,photo
59,130,personal,2023-03-20,5,8,1,photo
60,84,personal,2023-03-09,14,5,4,photo
61,92,business,2023-06-22,39,2,2,photo
62,111,personal,2023-01-12,36,2,2,photo
63,188,business,2023-10-15,46,6,3,carousel
64,199,business,2023-05-08,46,5,3,video
65,172,personal,2023-04-06,34,8,5,video
66,8,creator,2023-04-02,22,10,3,photo
67,175,creator,2023-05-21,5,9,1,video
68,35,personal,2023-01-31,3,9,2,photo
69,81,personal,2023-11-30,17,6,3,video
70,164,creator,2023-01-20,8,5,2,carousel
71,50,business,2023-05-26,38,6,2,photo
72,104,personal,2023-11-12,12,2,4,video
73,132,business,2023-06-09,26,8,3,video
74,2,business,2023-12-15,41,5,4,carousel
75,134,business,2023-02-12,31,8,2,video
76,54,business,2023-09-11,13,4,0,photo
77,106,business,2023-05-10,14,6,4,photo
78,4,personal,2023-03-01,36,3,1,photo
79,54,personal,2023-05-31,40,6,4,video
80,191,personal,2023-10-14,12,0,5,photo
81,146,creator,2023-01-05,33,11,4,video
82,44,personal,2023-09-23,21,7,2,photo
83,162,personal,2023-12-11,22,4,4,photo
84,190,personal,2023-05-10,2,1,4,photo
85,14,personal,2023-09-24,33,4,5,video
86,95,business,2023-06-27,41,5,3,photo
87,48,business,2023-09-10,30,1,4,photo
88,15,personal,2023-02-25,20,5,2,photo
89,200,personal,2023-03-24,10,5,5,photo
90,190,personal,2023-04-09,38,0,4,photo
91,40,personal,2023-05-29,3,0,4,video
92,82,personal,2023-11-25,0,10,5,photo
93,111,personal,2023-06-05,27,9,5,photo
94,53,personal,2023-07-09,23,2,5,video
95,24,personal,2023-09-20,34,9,3,carousel
96,154,personal,2023-03-21,12,9,4,video
97,188,personal,2023-09-09,33,2,4,photo
98,124,personal,2023-04-07,10,3,3,video
99,41,personal,2023-09-17,35,1,5,carousel
100,157,business,2023-09-17,26,8,1,video
101,15,personal,2023-04-13,34,9,5,photo
102,45,personal,2023-02-09,17,10,5,photo
103,65,business,2023-09-30,49,6,2,video
104,89,personal,2023-04-11,21,6,4,photo
105,71,business,2023-12-25,33,5,4,photo
106,9,personal,2023-11-04,18,2,4,video
107,88,creator,2023-08-09,36,10,0,video
108,129,business,2023-11-04,48,7,3,photo
109,136,business,2023-05-04,30,7,1,video
110,63,business,2023-08-19,17,10,1,photo
111,139,personal,2023-06-27,27,8,5,photo
112,81,personal,2023-03-04,4,0,4,video
113,136,business,2023-04-26,26,0,4,photo
114,163,personal,2023-07-10,36,2,3,photo
115,163,business,2023-03-03,45,2,1,carousel
116,33,personal,2023-09-13,18,9,5,photo
117,123,personal,2023-01-07,26,7,3,photo
118,5,personal,2023-06-04,33,9,5,carousel
119,41,personal,2023-04-02,10,0,4,video
120,28,personal,2023-01-14,11,1,4,video
121,135,personal,2023-08-17,20,1,4,video
122,72,personal,2023-03-27,10,2,4,photo
123,12,personal,2023-05-13,38,5,1,video
124,162,personal,2023-07-02,27,0,3,photo
125,33,business,2023-03-03,14,1,2,video
126,48,personal,2023-08-07,16,0,4,photo
127,151,personal,2023-09-03,19,4,1,video
128,62,personal,2023-08-18,40,6,4,photo
129,37,business,2023-03-20,21,7,0,photo
130,99,personal,2023-05-29,5,9,4,video
131,172,business,2023-05-18,26,0,1,video
132,104,creator,2023-11-10,18,11,1,video
133,35,personal,2023-03-06,25,4,5,photo
134,193,personal,2023-01-13,31,9,4,photo
135,101,personal,2023-08-01,5,0,3,video
136,175,personal,2023-08-30,35,2,5,video
137,131,personal,2023-08-01,37,6,2,video
138,1,creator,2023-06-30,10,14,3,carousel
139,5,personal,2023-12-04,32,0,5,video
140,142,personal,2023-06-22,23,6,4,photo
141,103,personal,2023-06-09,22,4,2,video
142,27,business,2023-06-13,24,0,4,carousel
143,137,personal,2023-07-07,26,0,2,video
144,15,personal,2023-07-10,10,0,1,video
145,90,creator,2023-11-04,16,15,1,video
146,42,business,2023-09-13,23,8,3,photo
147,124,personal,2023-07-02,26,10,3,photo
148,179,personal,2023-04-27,17,2,2,photo
149,63,business,2023-10-09,37,4,2,carousel
150,96,personal,2023-07-15,3,10,1,video
151,52,personal,2023-02-03,6,9,5,photo
152,96,personal,2023-02-21,34,8,5,carousel
153,132,personal,2023-04-22,8,5,3,photo
154,151,business,2023-09-09,17,8,4,photo
155,143,creator,2023-03-23,16,12,1,video
156,171,personal,2023-08-20,16,7,3,video
157,29,personal,2023-08-15,32,0,4,photo
158,36,personal,2023-08-21,31,8,2,photo
159,13,personal,2023-08-09,7,5,2,photo
160,160,business,2023-02-11,28,8,1,photo
161,71,personal,2023-01-21,37,2,4,photo
162,187,personal,2023-02-11,2,2,1,photo
163,86,personal,2023-04-23,4,5,5,photo
164,28,personal,2023-04-15,12,8,3,photo
165,66,personal,2023-07-11,30,6,1,photo
166,170,business,2023-01-17,25,2,2,photo
167,45,personal,2023-04-30,31,2,5,video
168,62,business,2023-05-09,31,1,3,video
169,185,personal,2023-05-10,28,8,2,photo
170,134,personal,2023-03-01,21,2,2,photo
171,28,personal,2023-02-17,2,10,4,photo
172,28,business,2023-01-29,19,4,0,photo
173,108,creator,2023-04-07,20,13,0,photo
174,44,personal,2023-01-10,15,7,3,photo
175,84,personal,2023-08-30,11,1,4,photo
176,30,creator,2023-11-10,1,7,0,video
177,190,personal,2023-08-20,40,1,4,photo
178,75,personal,2023-10-04,23,7,5,photo
179,128,creator,2023-10-11,34,10,1,video
180,92,personal,2023-07-22,29,5,2,photo
181,190,personal,2023-09-04,29,8,2,photo
182,129,personal,2023-10-17,34,7,4,photo
183,121,personal,2023-09-21,18,3,4,photo
184,27,personal,2023-08-02,7,3,3,video
185,190,business,2023-07-19,35,8,1,photo
186,121,personal,2023-03-20,39,0,3,photo
187,116,personal,2023-12-09,6,1,2,photo
188,3,personal,2023-12-10,29,1,3,photo
189,103,personal,2023-06-22,6,5,3,video
190,198,creator,2023-03-10,2,8,4,video
191,200,personal,2023-03-28,0,10,3,photo
192,155,personal,2023-04-11,35,9,4,photo
193,137,business,2023-01-08,34,2,2,photo
194,62,personal,2023-11-29,36,2,2,video
195,165,personal,2023-07-19,0,2,3,photo
196,51,personal,2023-03-28,14,5,1,photo
197,172,personal,2023-02-12,36,7,2,photo
198,152,personal,2023-04-19,12,10,1,photo
199,59,personal,2023-06-01,39,6,2,photo
200,118,business,2023-01-17,17,3,3,photo
201,160,personal,2023-05-13,4,10,4,photo
202,96,personal,2023-05-28,8,3,4,photo
203,180,personal,2023-10-04,0,10,1,photo
204,113,personal,2023-08-20,35,9,5,video
205,62,business,2023-11-10,44,10,1,photo
206,186,personal,2023-08-16,1,10,4,photo
207,52,personal,2023-05-19,39,10,2,video
208,12,business,2023-07-30,32,1,0,photo
209,39,personal,2023-01-28,8,0,5,video
210,130,personal,2023-02-20,33,8,1,video
211,131,personal,2023-09-18,13,1,2,photo
212,113,personal,2023-09-18,3,7,5,carousel
213,101,business,2023-12-16,39,8,4,photo
214,113,personal,2023-12-18,30,3,1,photo
215,184,personal,2023-01-08,37,7,4,photo
216,81,personal,2023-11-16,10,8,2,photo
217,187,business,2023-05-18,44,9,2,video
218,113,personal,2023-02-07,7,9,3,video
219,2,business,2023-04-21,12,4,0,video
220,130,personal,2023-08-08,13,6,2,carousel
221,54,business,2023-12-03,22,9,1,video
222,87,creator,2023-08-11,31,8,0,video
223,129,business,2023-05-16,43,0,1,photo
224,147,business,2023-09-13,28,2,3,photo
225,126,personal,2023-12-26,37,4,1,photo
226,130,personal,2023-11-25,15,2,4,video
227,53,personal,2023-02-18,1,10,2,photo
228,172,personal,2023-10-19,39,6,1,photo
229,160,personal,2023-11-20,16,8,2,photo
230,198,personal,2023-03-19,33,5,1,photo
231,160,personal,2023-04-15,15,9,2,photo
232,68,personal,2023-06-18,37,0,4,photo
233,183,business,2023-08-05,11,6,3,video
234,184,personal,2023-04-29,1,2,2,photo
235,123,business,2023-07-09,35,4,0,video
236,145,business,2023-09-12,22,9,2,photo
237,38,creator,2023-09-23,30,8,3,photo
238,24,personal,2023-05-29,33,9,4,photo
239,69,business,2023-06-13,48,4,2,photo
240,116,creator,2023-05-20,2,9,1,photo
241,98,creator,2023-12-13,7,10,0,photo
