user_id,payment_date,amount,payment_status
user_024,2024-03-19,17.99,success
user_011,2024-09-11,13.99,cancelled
user_019,2024-11-19,17.99,success
user_028,2024-11-06,17.99,success
user_040,2024-02-03,8.99,success
user_006,2024-10-28,17.99,success
user_027,2024-02-16,17.99,success
user_049,2024-10-15,8.99,failed
user_041,2024-08-15,17.99,success
user_003,2024-11-06,13.99,success
user_014,2024-04-25,13.99,success
user_036,2024-07-03,8.99,cancelled
user_031,2024-02-12,13.99,failed
user_027,2024-11-19,17.99,success
user_026,2024-01-13,8.99,success
user_033,2024-05-09,17.99,success
user_017,2024-05-27,13.99,success
user_044,2024-04-01,13.99,success
user_003,2024-01-02,8.99,success
user_024,2024-09-24,17.99,success
user_039,2024-06-10,8.99,success
user_037,2024-07-07,17.99,success
user_026,2024-04-20,17.99,success
user_026,2024-01-27,17.99,success
user_028,2024-03-22,13.99,success
user_047,2024-03-14,13.99,success
user_034,2024-03-15,8.99,success
user_007,2024-12-22,8.99,success
user_033,2024-02-21,17.99,success
user_026,2024-11-05,17.99,success
user_011,2024-06-06,8.99,success
user_006,2024-01-15,8.99,success
user_041,2024-10-02,8.99,success
user_040,2024-12-14,8.99,pending
user_037,2024-06-30,17.99,cancelled
user_047,2024-03-16,17.99,failed
user_041,2024-06-05,8.99,success
user_042,2024-04-10,8.99,success
user_035,2024-04-24,13.99,success
user_050,2024-05-22,8.99,success
user_018,2024-02-05,17.99,success
user_002,2024-11-15,8.99,success
user_008,2024-08-18,8.99,success
user_007,2024-03-11,13.99,pending
user_012,2024-02-03,13.99,success
user_024,2024-04-13,8.99,success
user_032,2024-01-15,8.99,success
user_032,2024-10-30,8.99,success
user_044,2024-07-12,13.99,success
user_041,2024-08-24,8.99,success
user_012,2024-05-01,8.99,cancelled
user_043,2024-10-18,17.99,success
user_003,2024-02-11,13.99,pending
user_031,2024-10-17,17.99,failed
user_001,2024-03-18,17.99,success
user_017,2024-02-07,17.99,pending
user_002,2024-08-29,17.99,success
user_033,2024-03-08,13.99,success
user_008,2024-04-01,13.99,success
user_009,2024-04-03,17.99,success
user_045,2024-03-10,13.99,success
user_031,2024-04-03,13.99,success
user_046,2024-09-18,13.99,failed
user_030,2024-12-22,13.99,success
user_028,2024-09-10,8.99,success
user_017,2024-03-08,17.99,success
user_046,2024-05-13,8.99,success
user_038,2024-10-07,8.99,failed
