user_id,subscription_type,user_age,country,monthly_revenue
user_001,premium,32.0,DE,13.99
user_002,standard,68.0,CA,8.99
user_003,premium,35.0,,17.99
user_004,premium,56.0,JP,8.99
user_005,premium,21.0,DE,13.99
user_006,basic,24.0,BR,17.99
user_007,premium,68.0,BR,8.99
user_008,premium,20.0,FR,8.99
user_009,basic,58.0,US,8.99
user_010,standard,28.0,JP,13.99
user_011,premium,46.0,BR,17.99
user_012,standard,64.0,BR,8.99
user_013,basic,59.0,CA,13.99
user_014,basic,,BR,8.99
user_015,standard,44.0,BR,8.99
user_016,basic,69.0,DE,13.99
user_017,standard,50.0,UK,8.99
user_018,standard,,JP,13.99
user_019,standard,58.0,JP,8.99
user_020,basic,66.0,BR,17.99
user_021,standard,68.0,UK,8.99
user_022,standard,44.0,DE,13.99
user_023,premium,68.0,JP,13.99
user_024,basic,46.0,UK,8.99
user_025,premium,69.0,FR,8.99
user_026,basic,39.0,CA,13.99
user_027,basic,45.0,US,13.99
user_028,basic,60.0,JP,8.99
user_029,premium,21.0,JP,17.99
user_030,premium,51.0,,13.99
user_031,standard,,JP,17.99
user_032,standard,64.0,JP,13.99
user_033,standard,18.0,BR,13.99
user_034,premium,57.0,UK,17.99
user_035,standard,46.0,JP,8.99
user_036,premium,57.0,BR,17.99
user_037,premium,46.0,JP,13.99
user_038,premium,43.0,BR,8.99
user_039,standard,23.0,,17.99
user_040,standard,,JP,17.99
user_041,premium,26.0,FR,17.99
user_042,standard,31.0,US,17.99
user_043,premium,37.0,FR,13.99
user_044,premium,28.0,US,8.99
user_045,premium,55.0,CA,8.99
user_046,standard,,DE,17.99
user_047,basic,64.0,US,13.99
user_048,standard,58.0,FR,13.99
user_049,basic,,BR,17.99
user_050,basic,46.0,CA,17.99
