date,visitors,temperature_celsius,snowfall_cm,next_day_visitors
2024-12-01,902,-7.2,28.9,1682
2024-12-02,1235,-2.4,11.2,1292
2024-12-03,1070,2.9,1.0,1154
2024-12-04,906,2.0,25.8,1670
2024-12-05,871,5.5,7.1,798
2024-12-06,820,-0.3,37.6,2196
2024-12-07,1414,14.9,38.2,1831
2024-12-08,921,-6.6,36.6,2337
2024-12-09,1266,-4.0,14.8,1507
2024-12-10,1014,-2.3,0.6,1029
2024-12-11,1130,-9.1,37.1,2015
2024-12-12,1258,3.2,17.1,1405
2024-12-13,887,2.5,38.7,1870
2024-12-14,1172,-1.9,38.5,2004
2024-12-15,899,-4.7,34.1,2029
2024-12-16,1463,-9.5,11.8,1202
2024-12-17,930,-5.9,15.4,1260
2024-12-18,1461,1.7,34.0,1778
2024-12-19,1108,-3.1,12.7,1507
2024-12-20,1143,-4.1,6.8,1460
2024-12-21,1891,0.5,22.3,1629
2024-12-22,1813,3.8,37.4,2051
2024-12-23,1785,-0.7,27.8,1569
2024-12-24,1591,-0.4,22.8,1745
2024-12-25,1676,4.9,3.9,1207
2024-12-26,1560,-1.1,24.6,1472
2024-12-27,1859,-3.5,39.6,1632
2024-12-28,1713,1.4,5.6,895
2024-12-29,1421,-3.3,20.7,1383
2024-12-30,1652,-3.8,35.1,2109
2024-12-31,1360,4.4,29.6,2050
2025-01-01,1274,-3.5,27.9,1609
2025-01-02,858,-15.3,28.1,1620
2025-01-03,1310,-0.3,14.4,1412
2025-01-04,1481,-4.0,11.7,1294
2025-01-05,1275,-3.4,32.4,1996
2025-01-06,1499,0.3,32.4,1705
2025-01-07,989,-2.8,34.7,2057
2025-01-08,1486,-0.9,36.5,1864
2025-01-09,1362,-12.1,20.5,1683
2025-01-10,1366,-6.7,20.1,1448
2025-01-11,1043,5.0,31.9,1674
2025-01-12,1304,-2.1,26.0,2032
2025-01-13,930,-10.4,28.1,1915
2025-01-14,1284,-7.4,31.8,1436
2025-01-15,1446,-7.0,35.6,1800
2025-01-16,820,-1.5,13.5,1578
2025-01-17,966,-4.2,15.0,1135
2025-01-18,1073,-5.3,3.8,1249
2025-01-19,1187,-2.0,23.1,1710
2025-01-20,1400,0.4,1.4,895
2025-01-21,1115,-3.3,18.6,1463
2025-01-22,813,-4.9,21.7,1124
2025-01-23,1041,-4.1,11.5,1641
2025-01-24,1145,-0.3,23.6,1528
2025-01-25,1364,-2.0,1.2,1190
2025-01-26,1139,1.8,1.5,1160
2025-01-27,891,-7.7,32.9,2094
2025-01-28,1166,-5.9,14.4,1273
2025-01-29,1254,1.9,5.1,1168
2025-01-30,1227,-6.0,20.9,1634
2025-01-31,1308,4.9,30.8,1944
2025-02-01,834,5.0,8.6,1445
2025-02-02,1005,5.0,24.9,1527
2025-02-03,880,-6.4,3.4,952
2025-02-04,1361,-1.6,2.1,1324
2025-02-05,1187,-4.5,21.3,1125
2025-02-06,801,2.6,21.6,1854
2025-02-07,1189,6.5,25.5,1577
2025-02-08,1365,2.4,29.0,1724
2025-02-09,1405,-2.0,39.0,1838
2025-02-10,1776,-3.8,20.7,1507
2025-02-11,1701,1.2,12.9,1576
2025-02-12,1855,-8.1,31.8,1949
2025-02-13,1461,0.7,10.8,1368
2025-02-14,1501,-6.6,17.6,1457
2025-02-15,1569,1.1,3.1,788
2025-02-16,1070,-2.8,1.0,856
2025-02-17,1255,-3.9,38.5,1893
2025-02-18,1261,-6.4,33.4,1926
2025-02-19,1051,-3.8,27.8,1708
2025-02-20,1095,0.8,16.4,1606
2025-02-21,1137,3.2,6.9,1267
2025-02-22,852,0.6,6.3,1168
2025-02-23,1016,4.8,10.0,1705
2025-02-24,987,10.7,22.0,1631
2025-02-25,1179,-3.6,28.6,1628
2025-02-26,1292,-3.0,26.4,2031
2025-02-27,840,-9.2,11.2,1520
2025-02-28,956,4.0,38.2,2318
2025-03-01,814,4.5,29.5,1715
2025-03-02,864,-6.3,22.2,1750
2025-03-03,1320,1.1,24.5,1321
2025-03-04,1143,4.1,16.8,1576
2025-03-05,928,-0.9,9.9,1215
2025-03-06,1447,2.2,14.2,1083
2025-03-07,1271,-1.1,30.3,1964
2025-03-08,862,-8.1,0.6,652
2025-03-09,938,3.2,4.6,732
2025-03-10,1298,4.6,1.8,1117
2025-03-11,1392,1.7,1.6,1154
2025-03-12,1191,-6.8,34.2,2049
2025-03-13,1474,-5.8,28.1,1850
2025-03-14,1218,-7.7,19.0,1770
2025-03-15,1088,1.8,3.9,1237
2025-03-16,1178,4.3,19.7,1466
2025-03-17,1289,0.1,18.9,1457
2025-03-18,1030,2.7,6.9,1116
2025-03-19,840,-6.3,17.4,1494
2025-03-20,827,-1.3,15.9,1178
2025-03-21,934,-8.8,24.6,1683
2025-03-22,1000,-5.9,25.4,1617
2025-03-23,832,2.4,1.8,1100
2025-03-24,847,-3.2,15.0,1430
2025-03-25,1302,4.0,25.0,1134
2025-03-26,1206,0.7,20.1,1322
2025-03-27,1373,11.7,34.3,1835
2025-03-28,898,-1.5,26.3,1646
2025-03-29,1483,-9.0,6.5,1214
2025-03-30,1346,-2.2,2.8,1130
