lift_name,wait_minutes
Summit Express,8.99
Summit Express,7.72
Summit Express,9.3
Summit Express,11.05
Summit Express,7.53
Summit Express,7.53
Summit Express,11.16
Summit Express,9.53
Summit Express,7.06
Summit Express,9.09
Summit Express,7.07
Summit Express,7.07
Summit Express,8.48
Summit Express,4.17
Summit Express,4.55
Summit Express,6.88
Summit Express,5.97
Summit Express,8.63
Summit Express,6.18
Summit Express,5.18
Summit Express,10.93
Summit Express,7.55
Summit Express,8.14
Summit Express,5.15
Summit Express,6.91
Summit Express,8.22
Summit Express,5.7
Summit Express,8.75
Summit Express,6.8
Summit Express,7.42
Summit Express,6.8
Summit Express,11.7
Summit Express,7.97
Summit Express,5.88
Summit Express,9.65
Summit Express,5.56
Summit Express,8.42
Summit Express,4.08
Summit Express,5.34
Summit Express,8.39
Summit Express,9.48
Summit Express,8.34
Summit Express,7.77
Summit Express,7.4
Summit Express,5.04
Summit Express,6.56
Summit Express,7.08
Summit Express,10.11
Summit Express,8.69
Summit Express,4.47
Summit Express,8.65
Summit Express,7.23
Summit Express,6.65
Summit Express,9.22
Summit Express,10.06
Summit Express,9.86
Summit Express,6.32
Summit Express,7.38
Summit Express,8.66
Summit Express,9.95
Summit Express,7.04
Summit Express,7.63
Summit Express,5.79
Summit Express,5.61
Summit Express,9.63
Summit Express,10.71
Summit Express,7.86
Summit Express,10.01
Summit Express,8.72
Summit Express,6.71
Summit Express,8.72
Summit Express,11.08
Summit Express,7.93
Summit Express,11.13
Summit Express,2.76
Summit Express,9.64
Summit Express,8.17
Summit Express,7.4
Summit Express,8.18
Summit Express,4.02
Summit Express,7.56
Summit Express,8.71
Summit Express,10.96
Summit Express,6.96
Summit Express,6.38
Summit Express,7.0
Summit Express,9.83
Summit Express,8.66
Summit Express,6.94
Summit Express,9.03
Summit Express,8.19
Summit Express,9.94
Summit Express,6.6
Summit Express,7.34
Summit Express,7.22
Summit Express,5.07
Summit Express,8.59
Summit Express,8.52
Summit Express,8.01
Summit Express,7.53
Alpine Quad,3.88
Alpine Quad,5.37
Alpine Quad,5.49
Alpine Quad,4.8
Alpine Quad,5.76
Alpine Quad,6.61
Alpine Quad,8.83
Alpine Quad,6.26
Alpine Quad,6.39
Alpine Quad,5.89
Alpine Quad,3.12
Alpine Quad,5.96
Alpine Quad,6.09
Alpine Quad,9.69
Alpine Quad,5.71
Alpine Quad,6.45
Alpine Quad,5.95
Alpine Quad,4.25
Alpine Quad,7.71
Alpine Quad,7.13
Alpine Quad,7.19
Alpine Quad,4.64
Alpine Quad,8.1
Alpine Quad,3.9
Alpine Quad,6.88
Alpine Quad,9.29
Alpine Quad,4.51
Alpine Quad,5.15
Alpine Quad,6.15
Alpine Quad,5.24
Alpine Quad,3.67
Alpine Quad,6.1
Alpine Quad,4.41
Alpine Quad,6.71
Alpine Quad,4.62
Alpine Quad,8.32
Alpine Quad,4.83
Alpine Quad,5.52
Alpine Quad,7.22
Alpine Quad,4.15
Alpine Quad,6.34
Alpine Quad,7.96
Alpine Quad,3.59
Alpine Quad,6.28
Alpine Quad,6.39
Alpine Quad,7.17
Alpine Quad,4.14
Alpine Quad,4.02
Alpine Quad,6.78
Alpine Quad,6.45
